blockid,miningpool
400000,BW.COM
400001,BTCC
400002,F2Pool
400003,BitFury
400004,F2Pool
400005,F2Pool
400006,AntPool
400007,F2Pool
400008,F2Pool
400009,BW.COM
400010,AntPool
400011,F2Pool
400012,AntPool
400013,BW.COM
400014,BitFury
400015,F2Pool
400016,F2Pool
400017,BTCC
400018,BTCC
400019,AntPool
400020,BitFury
400021,BTCC
400022,SlushPool
400023,BitFury
400024,KnCMiner
400025,BTCC
400026,BitFury
400027,BitFury
400028,F2Pool
400029,BitFury
400030,Solo CK
400031,F2Pool
400032,AntPool
400033,BitFury
400034,F2Pool
400035,KanoPool
400036,BitClub
400037,BTCC
400038,KnCMiner
400039,F2Pool
400040,KnCMiner
400041,F2Pool
400042,F2Pool
400043,BitFury
400044,AntPool
400045,F2Pool
400046,KanoPool
400047,BW.COM
400048,F2Pool
400049,F2Pool
400050,F2Pool
400051,AntPool
400052,SlushPool
400053,F2Pool
400054,F2Pool
400055,BTCC
400056,BW.COM
400057,KnCMiner
400058,BTCC
400059,F2Pool
400060,BTCC
400061,F2Pool
400062,AntPool
400063,BTCC
400064,F2Pool
400065,BTCC
400066,BitFury
400067,KnCMiner
400068,AntPool
400069,AntPool
400070,F2Pool
400071,BitFury
400072,KnCMiner
400073,BTCC
400074,AntPool
400075,BTCC
400076,BitFury
400077,F2Pool
400078,AntPool
400079,BitFury
400080,AntPool
400081,AntPool
400082,BitFury
400083,AntPool
400084,BitFury
400085,AntPool
400086,KnCMiner
400087,BTCC
400088,F2Pool
400089,BitFury
400090,F2Pool
400091,F2Pool
400092,F2Pool
400093,BitFury
400094,BW.COM
400095,F2Pool
400096,F2Pool
400097,AntPool
400098,F2Pool
400099,BW.COM
400100,BTCC
400101,AntPool
400102,BitFury
400103,BitClub
400104,KnCMiner
400105,AntPool
400106,AntPool
400107,AntPool
400108,AntPool
400109,F2Pool
400110,F2Pool
400111,21 Inc.
400112,BTCC
400113,BTCC
400114,F2Pool
400115,AntPool
400116,SlushPool
400117,BTCC
400118,F2Pool
400119,BTCC
400120,BTCC
400121,AntPool
400122,BitMinter
400123,BTCC
400124,F2Pool
400125,BTCC
400126,F2Pool
400127,BTCC
400128,BTCC
400129,BitFury
400130,AntPool
400131,F2Pool
400132,F2Pool
400133,BTCC
400134,F2Pool
400135,BTCC
400136,AntPool
400137,AntPool
400138,GHash.IO
400139,F2Pool
400140,F2Pool
400141,AntPool
400142,BW.COM
400143,BitFury
400144,GHash.IO
400145,SlushPool
400146,AntPool
400147,F2Pool
400148,AntPool
400149,F2Pool
400150,BitFury
400151,BTCC
400152,BTCC
400153,F2Pool
400154,BW.COM
400155,AntPool
400156,BitFury
400157,AntPool
400158,BTCC
400159,AntPool
400160,AntPool
400161,F2Pool
400162,KnCMiner
400163,AntPool
400164,AntPool
400165,SlushPool
400166,BTCC
400167,KnCMiner
400168,F2Pool
400169,F2Pool
400170,AntPool
400171,21 Inc.
400172,BTCC
400173,AntPool
400174,AntPool
400175,BitFury
400176,AntPool
400177,failed
400178,KnCMiner
400179,AntPool
400180,BW.COM
400181,AntPool
400182,F2Pool
400183,BTCC
400184,F2Pool
400185,BitClub
400186,AntPool
400187,AntPool
400188,BW.COM
400189,KnCMiner
400190,BitFury
400191,F2Pool
400192,SlushPool
400193,BTCC
400194,F2Pool
400195,BW.COM
400196,F2Pool
400197,F2Pool
400198,AntPool
400199,SlushPool
400200,F2Pool
400201,BitFury
400202,BTCC
400203,BitFury
400204,F2Pool
400205,Telco 214
400206,SlushPool
400207,BTCC
400208,AntPool
400209,AntPool
400210,F2Pool
400211,AntPool
400212,KnCMiner
400213,AntPool
400214,EclipseMC
400215,AntPool
400216,AntPool
400217,BitFury
400218,AntPool
400219,AntPool
400220,AntPool
400221,AntPool
400222,AntPool
400223,F2Pool
400224,BitFury
400225,AntPool
400226,AntPool
400227,BW.COM
400228,BTCC
400229,AntPool
400230,AntPool
400231,BW.COM
400232,BitFury
400233,F2Pool
400234,AntPool
400235,SlushPool
400236,F2Pool
400237,BitFury
400238,F2Pool
400239,AntPool
400240,AntPool
400241,BitFury
400242,AntPool
400243,BTCC
400244,GHash.IO
400245,BitFury
400246,BTCC
400247,BitFury
400248,BW.COM
400249,F2Pool
400250,AntPool
400251,F2Pool
400252,AntPool
400253,Eligius
400254,F2Pool
400255,F2Pool
400256,AntPool
