Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others,,ALL,ANTPOOL,F2POOL,VIABTC,BTCCOM
2016-02-25 00:00:00 UTC,,2.45E+17,,,1.80E+17,7.36E+16,1.96E+17,,,3.68E+17,4.91E+16,,,8.18E+15,1.47E+17,,1.27E+18,2.45E+17,3.68E+17,0.00E+00,0.00E+00
2016-02-26 00:00:00 UTC,,3.01E+17,,,2.12E+17,5.70E+16,1.14E+17,8.14E+15,,2.93E+17,3.26E+16,,,1.63E+16,1.06E+17,,1.14E+18,3.01E+17,2.93E+17,0.00E+00,0.00E+00
2016-02-27 00:00:00 UTC,,3.64E+17,,,1.13E+17,1.13E+17,1.54E+17,,8.08E+15,2.26E+17,7.27E+16,8.08E+15,,1.62E+16,1.13E+17,,1.19E+18,3.64E+17,2.26E+17,0.00E+00,0.00E+00
2016-02-28 00:00:00 UTC,,2.84E+17,,,1.78E+17,2.43E+16,1.14E+17,8.11E+15,1.62E+16,2.35E+17,6.49E+16,,,8.11E+15,1.54E+17,,1.09E+18,2.84E+17,2.35E+17,0.00E+00,0.00E+00
2016-02-29 00:00:00 UTC,,1.99E+17,,,1.49E+17,4.98E+16,1.41E+17,8.30E+15,,3.74E+17,3.32E+16,,,,1.49E+17,,1.10E+18,1.99E+17,3.74E+17,0.00E+00,0.00E+00
2016-03-01 00:00:00 UTC,,1.92E+17,,,2.56E+17,7.19E+16,1.20E+17,,,3.04E+17,4.80E+16,,,1.60E+16,1.20E+17,,1.13E+18,1.92E+17,3.04E+17,0.00E+00,0.00E+00
2016-03-02 00:00:00 UTC,,2.91E+17,,,1.86E+17,6.46E+16,1.05E+17,,8.07E+15,3.47E+17,4.04E+16,8.07E+15,,,2.18E+17,,1.27E+18,2.91E+17,3.47E+17,0.00E+00,0.00E+00
2016-03-03 00:00:00 UTC,,2.55E+17,,,9.88E+16,5.76E+16,2.47E+17,,8.23E+15,2.80E+17,4.11E+16,,,,1.23E+17,,1.11E+18,2.55E+17,2.80E+17,0.00E+00,0.00E+00
2016-03-04 00:00:00 UTC,,2.75E+17,,,1.78E+17,5.65E+16,1.61E+17,,8.07E+15,3.31E+17,6.46E+16,,,,1.78E+17,,1.25E+18,2.75E+17,3.31E+17,0.00E+00,0.00E+00
2016-03-05 00:00:00 UTC,,2.91E+17,,,1.89E+17,8.66E+16,1.42E+17,7.87E+15,,2.91E+17,1.57E+16,,,2.36E+16,1.34E+17,,1.18E+18,2.91E+17,2.91E+17,0.00E+00,0.00E+00
2016-03-06 00:00:00 UTC,,2.75E+17,,,1.96E+17,7.06E+16,1.18E+17,,2.35E+16,2.90E+17,3.14E+16,,,,1.57E+17,,1.16E+18,2.75E+17,2.90E+17,0.00E+00,0.00E+00
2016-03-07 00:00:00 UTC,,2.17E+17,,,1.77E+17,1.05E+17,1.21E+17,,,2.58E+17,4.03E+16,,,8.05E+15,1.45E+17,,1.07E+18,2.17E+17,2.58E+17,0.00E+00,0.00E+00
2016-03-08 00:00:00 UTC,,3.57E+17,,,2.10E+17,1.16E+17,9.31E+16,,,2.56E+17,,7.76E+15,,7.76E+15,1.47E+17,,1.19E+18,3.57E+17,2.56E+17,0.00E+00,0.00E+00
2016-03-09 00:00:00 UTC,,2.66E+17,,,1.72E+17,8.60E+16,1.17E+17,7.82E+15,1.56E+16,3.75E+17,5.47E+16,,,7.82E+15,2.11E+17,,1.31E+18,2.66E+17,3.75E+17,0.00E+00,0.00E+00
2016-03-10 00:00:00 UTC,,2.93E+17,,,1.50E+17,8.70E+16,1.50E+17,7.91E+15,,3.16E+17,6.33E+16,,,,1.58E+17,,1.23E+18,2.93E+17,3.16E+17,0.00E+00,0.00E+00
